source,target,edge_type,century
Liberalismo clásico,Socioliberalismo,evolución,XIX
Liberalismo clásico,Neoliberalismo,evolución,XX
Liberalismo clásico,Ordoliberalismo,evolución,XX
Liberalismo clásico,Libertarismo,derivación,XX
Libertarismo,Anarcocapitalismo,derivación,XX
Socialismo utópico,Marxismo,evolución,XIX
Marxismo,Marxismo-leninismo,derivación,XX
Marxismo-leninismo,Estalinismo,derivación,XX
Marxismo-leninismo,Maoísmo,derivación,XX
Marxismo-leninismo,Titoísmo,derivación,XX
Marxismo,Socialdemocracia,revisión (Bernstein),XIX-XX
Marxismo-leninismo,Eurocomunismo,revisión,XX
Anarquismo,Mutualismo,corriente,XIX
Anarquismo,Colectivismo anarquista,corriente,XIX
Anarquismo,Anarcocomunismo,corriente,XIX-XX
Anarquismo,Anarcosindicalismo,corriente,XIX-XX
Conservadurismo clásico,Paleoconservadurismo,derivación,XX
Conservadurismo clásico,Neoconservadurismo,derivación,XX
Nacionalismo,Nacionalismo cívico,variante,XVIII-XIX
Nacionalismo,Nacionalismo étnico,variante,XIX
Fascismo,Nazismo,variante,XX
Fascismo,Falangismo,variante,XX
